tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Toscani, Xenio;;Ruoli del clero, canali e strumenti di apprendimento nella Lombardia dei secoli XVI-XIX;Becchi, Egle - Ferrari, Monica;a cura di;Formare alle professioni. Sacerdoti, principi, educatori;Milano;Franco Angeli;2009;;;;;70-118
poligrafia;;;;Becchi, Egle - Ferrari, Monica;a cura di;Formare alle professioni. Sacerdoti, principi, educatori;Milano;Franco Angeli;2009;;;;;524
monografia;;;;Lupi, Regina;;Francesco D'Aguirre. Riforme e resistenze nell'Italia del primo settecento;Firenze;Centro editoriale toscano;2011;;;;;212
poligrafia;;;;Cavina, Marco;a cura di;Francesco Mantica (1534-1614). Vicende umane e vicende culturali di un giurista della Controriforma ;Bologna;Pàtron;2011;;;;;141
articolo in volume miscellaneo;Penuti, Carla;;Feindschaft und Zusammenleben zwischen “town” und “gown”. Deutsche Stedenten an der Universität Bologna;Krug - Richter, Barbara - Mohrmann, Ruth-E.;hrsg. von;Frühneuzeitliche Universitätskulturen. Kulturische Perspektiven auf die Hochschulen in Europa;Köln-Weimar-Wien;Böhlau ;2009;;;;;75-96
articolo in volume miscellaneo;Baldini, Ugo;;Tra due paradigmi? La Naturali philosophia di Carlo Rinaldini;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;189-222
articolo in volume miscellaneo;Beretta, Marco;;L'opera di Galileo nelle università scandinave;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;81-88
articolo in volume miscellaneo;Bianchini, Marco;;Geminiano Montanari nella scienza economica;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;327-346
articolo in volume miscellaneo;Bònoli, Fabrizio;;Cassini e la tradizione astronomica galileiana a Bologna;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;171-188
articolo in volume miscellaneo;Borgato, Maria Teresa;;La traiettoria dei gravi nella polemica tra Borelli, Angeli e Riccioli;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;263-291
articolo in volume miscellaneo;Brizzi, Gian Paolo;;La mobilità degli studenti universitari nel Seicento;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;31-45
articolo in volume miscellaneo;Casini, Paolo;;Galilei, i galileiani e il “teatro del mondo”;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;381-394
articolo in volume miscellaneo;Cavazza, Marta;;Bologna e Galileo. Da Cesare Marsili agli Inquieti;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;155-170
